region,cell_name,threshold_v,latency,peak_v,trough_v,peak_amp,upstroke_downstroke_ratio,adaptation,isi_cv,avg_rate,tau,sag,Rin,Cm,half_width,DepoR,RepoR,AHPAmp,AHP_latency,RMP,IS1,IS2
Temporal,temporal_lobe_1109_cell11,-28.5949707,,46.05102539,-38.0859375,74.64599609,4.290909091,,,2,0.020824142,0.013256875,71.18713379,-0.000292527,1.476923077,8.502666767,-1.962515024,9.843092698,25.34230769,-66.4,0.171246667,0.17873
Temporal,temporal_lobe_1109_cell12,-31.99768066,,59.76867676,-40.00854492,91.76635742,4.642512973,,0,4,0.019874574,0.029046982,59.51263428,-0.000333956,1.566666667,8.663601345,-1.875135634,9.904649523,15.20555556,-68.2,0.183395,0.19788
Temporal,temporal_lobe_1109_cell13,-36.51428223,0.010318,42.95349121,-44.90661621,79.46777344,3.722171946,,0,4,0.028110299,0.035964522,258.8612366,-0.000108592,1.15,10.3129069,-2.19523112,13.15917969,23.85333333,-64.7,0.076964667,0.132733333
Temporal,temporal_lobe_1109_cell14,-34.03218587,0.03763,29.55118815,-42.35839844,63.58337402,3.873950797,0.071640058,0.185857672,12,0.016269067,0.025804936,177.2123718,-9.18055E-05,1.158823529,9.600471048,-1.845415901,14.1547708,24.92352941,-65.3,0.050533333,0.0516211
Temporal,temporal_lobe_1109_cell2,-33.9050293,0.010953,54.29077148,-44.03686523,88.19580078,4.311688312,,,2,0.010873605,0.053213263,57.38464355,-0.000189486,1.15,10.25390625,-2.365112305,8.7890625,13.15,-52.4,,
Temporal,temporal_lobe_1109_cell3,-35.68522135,0.05783,49.24519857,-46.25447591,84.93041992,4.073272358,0.135615829,0.135615829,6,0.018657261,0.057893112,74.10263062,-0.000251776,1.15,9.780883789,-2.44140625,11.52038574,22.5,-64.6,0.103588,0.110965
Temporal,temporal_lobe_1109_cell6,-27.80151367,,48.06518555,-37.04833984,75.86669922,3.106666667,,,2,0.022282933,0.018858721,108.712616,-0.000204971,1.65,6.815592448,-2.05485026,9.735107422,7.166666667,-63.8,0.146745,0.20167
Temporal,temporal_lobe_1109_cell7,-36.65559188,0.00188,13.6745287,-52.55259638,50.33012058,1.883434305,0.009723276,0.102331625,46,0.009443579,0.031100292,180.5656433,-5.23E-05,1.2,8.799235026,-1.759847005,12.89876302,8.4,-55.51,,
Temporal,temporal_lobe_1109_cell9,-33.27287946,0.00418,8.449009487,-52.21557617,41.72188895,1.494968187,-0.016120843,0.101267193,14,0.010202718,0.139550536,146.8861389,-6.946E-05,0.192857143,7.315499442,-3.784179688,18.49365234,3.728571429,-57.1,0.014426,
Temporal,temporal_lobe_1118_cell11,-36.10229492,0.04468,21.30126953,-45.74584961,57.40356445,3.614407814,0.17435269,0.278734272,8,0.01941187,0.054948051,339.0437317,-5.72548E-05,1.925,3.509521484,-0.923156738,13.5345459,28.525,-53.6,0.044232,0.064846
Temporal,temporal_lobe_1118_cell12,-38.31481934,0.01603,39.9424235,-49.87589518,78.25724284,3.468051168,0.066982777,0.184335606,12,0.019874764,0.016235893,142.7612305,-0.000139217,1.216666667,7.136027018,-2.344767253,15.1570638,7.508333333,-54.7,0.063576,0.056305
Temporal,temporal_lobe_1118_cell13,-39.60927327,0.00533,19.39137777,-55.84716797,59.00065104,1.937429529,0.016456934,0.399806797,24,0.010224625,0.045018577,146.3673401,-6.98559E-05,0.005,6.860351563,-3.234863281,16.47033691,15.915,-63.2,0.0337925,0.046485
Temporal,temporal_lobe_1118_cell14,-49.949646,0.02548,14.20593262,-61.31744385,64.15557861,2.163465131,0.444573269,1.263439582,8,0.008034048,0.047299894,186.836853,-4.30003E-05,0.225,8.827209473,-4.135131836,11.60430908,3.45,-53.8,0.009474,0.010942
Temporal,temporal_lobe_1118_cell15,-46.14257813,0.02228,15.06890191,-59.42789714,61.21148003,2.296245886,0.106433642,0.384452076,18,0.006423574,0.024022842,212.3286438,-3.0253E-05,0.346428571,12.44681222,-5.144391741,15.93235561,3.964285714,-56.9,0.010593333,0.022433333
Temporal,temporal_lobe_1118_cell18,-43.09082031,0.01693,27.02162001,-51.92396376,70.11244032,2.945292725,0.053823301,0.245134301,18,0.016700041,0.16133868,220.5006409,-7.57369E-05,0.95,7.394229665,-2.048268038,15.186983,19.89411765,-55.3,0.044072,0.0296725
Temporal,temporal_lobe_1118_cell19,-41.01053874,0.03108,28.70178223,-52.88085938,69.71232096,4.037417027,0.101900666,0.278059302,12,0.018031522,0.008093782,403.9738464,-4.46354E-05,1.73125,2.475738525,-0.858306885,9.574890137,38.625,-54.5,0.03713,0.0606
Temporal,temporal_lobe_1118_cell20,-44.87609863,0.00533,11.62872314,-54.63256836,56.50482178,2.430976469,0.012895203,0.128483755,40,0.007129105,0.063625867,204.5487976,-3.48528E-05,0.215,7.513427734,-2.944946289,11.77062988,11.355,-54,0.028784,0.02571875
Temporal,temporal_lobe_1118_cell5,-39.0625,0.01733,25.14987522,-45.84079319,64.21237522,3.336675142,0.021304818,0.109166703,18,0.012117153,0.019319539,241.0562134,-5.02669E-05,1.259090909,3.947864879,-1.398259943,8.700284091,24.91818182,-64.1,0.0505925,0.04937
Temporal,temporal_lobe_1118_cell6,-37.05342611,0.04768,26.48925781,-43.26171875,63.54268392,3.738929766,0.187195623,0.463849741,12,0.015744192,0.014934675,276.8740845,-5.68641E-05,1.940909091,3.931218928,-0.973788175,9.798916903,25.35454545,-60.5,0.02538,0.04839
Temporal,temporal_lobe_1118_cell8,-37.15297154,0.02653,23.55521066,-44.73368327,60.7081822,3.961190932,0.033206403,0.142748383,14,0.018316272,0.259861589,241.819458,-7.57436E-05,0.35,10.65063477,-4.913330078,8.056640625,5.4,-51.1,0.0108392,0.0120575
